geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HIS92_RS11080	363.404317208863	-0.392417874028745	0.576462537940758	2.93191381123535	0.56928335765626	0.999991084536226
HIS92_RS11085	6.29676785177853	-1.65694813971742	1.5369110285075	5.84113537706959	0.211330667696972	0.999991084536226
HIS92_RS11090	7.43416853625172	0.216955313232812	1.16616034477872	0.562504647426906	0.96713774672575	0.999991084536226
HIS92_RS11095	342.779535755396	-0.316483816449438	0.370605221860198	2.71801281558788	0.606066301153002	0.999991084536226
HIS92_RS11100	91.5285510586928	-0.375633625575196	0.582365146329717	1.70802482293252	0.78925939341365	0.999991084536226
HIS92_RS11105	829.663293659374	-0.325464578315832	0.393716693518504	1.17758730568991	0.881774756700323	0.999991084536226
HIS92_RS11110	20.7019268347328	-0.606885624848368	0.74590061048427	3.09869040979598	0.541447775626667	0.999991084536226
HIS92_RS11115	216.021016564939	-0.344695496594573	0.477355452138095	2.95750351024662	0.564962090693866	0.999991084536226
HIS92_RS11120	57.6441153917611	-0.86060350099252	1.08068004854179	2.08661803125688	0.719831260095923	0.999991084536226
HIS92_RS11125	205.130516466503	0.0836136769985043	0.487653806950893	1.03609678969423	0.904274028440452	0.999991084536226
HIS92_RS11130	79.7100526427957	-0.0755852161910512	0.604435147742104	1.4796201676379	0.830245263391836	0.999991084536226
HIS92_RS11140	517.439366260922	-0.0820060392244268	0.613071596137947	1.71356102752296	0.788252796866586	0.999991084536226
HIS92_RS11145	34.6695469930174	-0.704585669316899	1.53402132664455	0.695119679530194	0.951929397756735	0.999991084536226
HIS92_RS11150	58.2462949038506	-0.76134543317828	1.28059104970249	0.594475501233575	0.963675601498824	0.999991084536226
HIS92_RS11155	851.695531773466	-0.0828144318672745	0.492700477645894	0.82407450223667	0.935191712519566	0.999991084536226
HIS92_RS11160	674.430065157384	0.18432793542831	0.534004143313154	0.149341771589206	0.99734710133316	0.999991084536226
HIS92_RS11165	115.659793213111	0.134114132624516	0.53239641517705	0.52290628819722	0.97123307961785	0.999991084536226
HIS92_RS11170	35.8948356432129	-0.247645596944748	0.915006967827046	1.76833497902348	0.77827027629631	0.999991084536226
HIS92_RS11175	15.7309186669857	-0.129445477278498	1.02496619023024	0.855013337639761	0.930924282149299	0.999991084536226
HIS92_RS11180	3.63414056127258	0.245132730654755	1.96611926125574	1.11691850212648	0.891578691047348	0.999991084536226
HIS92_RS11185	245.242439172838	-0.26459810883081	0.90171279184968	0.167545158273015	0.996681024043705	0.999991084536226
HIS92_RS11190	1302.85257983503	-0.39243290490648	0.818873440622867	0.834742821960674	0.933730548977966	0.999991084536226
HIS92_RS11195	557.728210132191	0.205317799375446	0.346511248145803	4.08659040024551	0.394413935151883	0.999991084536226
HIS92_RS11200	23.9707458203377	1.00026309113374	0.638406284974691	5.00311369591795	0.28697815971811	0.999991084536226
HIS92_RS11205	18.8825588111971	-0.563906527938522	0.776801468007846	1.70996953083591	0.788905859005438	0.999991084536226
HIS92_RS11210	121.613464944352	-0.194612914999616	0.847131150841955	0.480865982569952	0.975336746977557	0.999991084536226
HIS92_RS11215	31.1821732033497	-0.734609298502546	0.801411479561236	1.13709046897313	0.888343623957195	0.999991084536226
HIS92_RS11225	13.9156193437787	0.923796425175296	0.986940001938148	2.77932546940485	0.595406749788276	0.999991084536226
HIS92_RS11230	54.8744356207867	-0.163192175923664	1.09129563154557	0.754838655708738	0.944397962058148	0.999991084536226
HIS92_RS11235	19.526548505737	1.56654815610508	0.825799626649817	6.83574002119869	0.144827437901031	0.999991084536226
HIS92_RS11240	1363.81118466494	0.0259098419910712	0.738611016838734	0.478943132840413	0.975518227556213	0.999991084536226
HIS92_RS11245	190.887457564426	-0.199274232261648	0.421241159569515	0.781736874834849	0.940879587136546	0.999991084536226
HIS92_RS11250	8.27420835205976	0.349947691877539	1.32115850204525	0.732462555315834	0.947266111332216	0.999991084536226
HIS92_RS11255	22.0999456909646	-1.09657906718568	0.812783044094188	3.72120226838888	0.445049687979847	0.999991084536226
HIS92_RS11260	32.4572658685558	0.00112332780401917	0.761601893149323	0.990554050222698	0.911224905707228	0.999991084536226
HIS92_RS11265	19.6020279812186	0.809823821860999	0.769953944389795	1.85987395390489	0.761511786321166	0.999991084536226
HIS92_RS11270	281.439153431961	-0.4385002322152	0.415220260670521	2.67349263752592	0.613860964260244	0.999991084536226
HIS92_RS11275	86.6356615383084	0.0239746526867653	0.728445394392459	0.251115100710194	0.992747390876174	0.999991084536226
HIS92_RS11280	2015.75601745693	-0.357577253644399	0.696842631951707	1.08403348524905	0.89679712792638	0.999991084536226
HIS92_RS11285	698.475657664942	-0.615198734650669	0.592128623409054	3.17771176356689	0.528538383979467	0.999991084536226
HIS92_RS11290	2816.47165097574	-0.0776062936729706	0.445088064012571	1.27420807244255	0.865736069176163	0.999991084536226
HIS92_RS11295	427.217208554548	-0.264070160074995	0.542656027745807	1.93310859884471	0.748060535329008	0.999991084536226
HIS92_RS11300	5.10794227087519	-0.409455009772254	1.46183947834157	0.300644259146424	0.98977254601549	0.999991084536226
HIS92_RS11305	299.43613713071	-0.490993753596387	1.05762671260231	0.246459446509533	0.993003086877556	0.999991084536226
HIS92_RS11315	191.334528810468	0.163307364785154	0.467585254284952	1.81299928723581	0.770103213021361	0.999991084536226
HIS92_RS11320	295.088580573353	0.231446385414209	0.421455249619833	1.46943593199302	0.832041365345992	0.999991084536226
HIS92_RS11325	76.1651772328328	0.604012940764725	0.534825321627649	3.04949602250346	0.549576800249831	0.999991084536226
HIS92_RS11330	3635.95716725959	0.145762618308959	0.441140120885201	0.804341221560435	0.937865117234965	0.999991084536226
HIS92_RS11335	8606.56713571705	0.325544047465403	0.492724517064835	2.19413821620071	0.700102587556299	0.999991084536226
HIS92_RS11340	365.034989493445	-0.0609137308437463	0.549732836694419	0.216282765263884	0.994557662676442	0.999991084536226
HIS92_RS11345	665.740233584681	-0.347578244449654	0.409823378181613	0.955372094897882	0.916485837493083	0.999991084536226
HIS92_RS11350	528.196192211559	-0.546206496293613	0.621951203793688	2.50245723100855	0.644195841767192	0.999991084536226
HIS92_RS11355	554.50402888033	-0.197900796649417	1.47348665905818	0.109322233722025	0.998559420852291	0.999991084536226
HIS92_RS11360	456.873492829827	-0.269713287417884	1.40525377320901	0.0823626656276701	0.999174973154974	0.999991084536226
HIS92_RS11365	6.4295994899277	-0.00725537499777167	1.39016559480437	0.170815651801064	0.996553918290291	0.999991084536226
HIS92_RS11370	4.2724100212854	0.823898363928885	1.52748316177685	1.02450460154211	0.906057806088434	0.999991084536226
HIS92_RS11375	62.7751187133686	-0.717468285669356	1.09604249937889	1.06733448220561	0.899419715602574	0.999991084536226
HIS92_RS11380	27.5293520456735	-0.355282601882874	1.25169590219235	0.260701252836952	0.992207765143594	0.999991084536226
HIS92_RS11385	6.48415954624448	-1.23717920497317	1.26491595728892	1.7912904982873	0.774075420448911	0.999991084536226
HIS92_RS11390	7.57586923409227	-1.12635300514555	1.18198440407175	4.27864031811693	0.369607409364403	0.999991084536226
HIS92_RS11395	238.691117893961	-0.880795441797474	0.661248439399122	3.3443426562846	0.501937356608375	0.999991084536226
HIS92_RS11405	110.151933055145	-0.394637600143885	0.790292661689464	0.616166950753495	0.96125033920554	0.999991084536226
HIS92_RS11410	4.37982329763658	1.20554704547388	1.5213646776578	1.20733766929419	0.876889047138179	0.999991084536226
HIS92_RS11415	3.53027401216964	-0.181830492625879	1.67555338770691	3.01313189048875	0.5556302198644	0.999991084536226
HIS92_RS11430	49.7154531383534	-0.119281893431795	0.583647340937712	0.193044194375261	0.995630916296957	0.999991084536226
HIS92_RS11435	5.18271595251352	0.228132949200939	1.40431576296566	1.96340280517479	0.742490181006179	0.999991084536226
HIS92_RS11445	10.1006518863728	-0.430042669882906	1.28760386958875	0.517281903270714	0.97179692368156	0.999991084536226
HIS92_RS11450	145.170676008407	-1.00098043754135	2.26131872184845	0.316276827618168	0.988739367466407	0.999991084536226
HIS92_RS11455	1241.90189612347	0.00917390212787883	0.851911922438281	0.449993696169429	0.978182934269645	0.999991084536226
